cell_id,latitude,longitude,lst_median_c,lst_p90_c,ndvi_median,ndbi_median,valid_pixel_count
UC_17102_2524,11.265685177292175,76.81718573329412,34.07014579999998,37.65564877999998,0.7693506479263306,-0.3089108765125274,27.811764705882357
UC_17103_2524,11.265685177323723,76.8216773096112,34.26497294000001,38.17176979999999,0.713985800743103,-0.2210715860128402,27.141176470588235
UC_17104_2524,11.26568517731338,76.82616888614714,34.85287238000001,38.68789082000001,0.6671352982521057,-0.185296893119812,26.16078431372549
UC_17105_2524,11.265685177268075,76.83066046253853,33.85822856000004,37.166871920000006,0.7530471086502075,-0.274273008108139,27.811764705882357
UC_17106_2524,11.265685177264514,76.8351520389576,32.93536316000001,36.411489500000016,0.7499331831932068,-0.262448787689209,29.77254901960784
UC_17107_2524,11.265685177300382,76.83964361539616,33.12335426000004,36.88317626000003,0.7453619241714478,-0.257190465927124,29.77254901960784
UC_17108_2524,11.265685177340794,76.84413519177134,33.65656538000002,38.11024544000003,0.7174926400184631,-0.2204024642705917,29.77254901960784
UC_17109_2524,11.26568517734625,76.84862676817362,34.23591977000004,39.13394242999999,0.7067028880119324,-0.1918627470731735,28.7921568627451
UC_17110_2524,11.26568517731674,76.8531183446687,35.28696092000004,39.35098670000002,0.717146098613739,-0.194087952375412,26.109803921568627
UC_17111_2524,11.265685177296389,76.85760992109748,35.987655020000005,40.59856400000001,0.6849884390830994,-0.1608610898256302,28.7921568627451
UC_17112_2524,11.2656851772852,76.86210149742581,36.46959584000001,41.96235397999999,0.6700090169906616,-0.1400607824325561,28.12156862745098
UC_17113_2524,11.265685177285471,76.86659307393478,37.495001840000015,43.81150280000003,0.6167944669723511,-0.07471264898777,29.721568627450974
UC_17114_2524,11.265685177294912,76.87108465025146,38.11537247000004,44.32591481000003,0.5895982980728149,-0.0272965673357248,29.411764705882355
UC_17115_2524,11.265685177276298,76.87557622674962,37.77186146,43.81833884000002,0.5926854610443115,-0.0329831428825855,31.37254901960784
UC_17116_2524,11.265685177271454,76.88006780318655,38.37685099999999,44.34129589999998,0.5747489333152771,-0.0245042722672224,31.01176470588235
UC_17117_2524,11.26568517728038,76.88455937958048,39.00576668000002,44.03196509,0.6067281365394592,-0.1090267226099968,29.411764705882355
UC_17118_2524,11.265685177303084,76.88905095600127,39.11343431000003,43.67478200000002,0.6381056904792786,-0.1662277281284332,29.721568627450974
UC_17119_2524,11.265685177304643,76.89354253244252,41.40179870000003,45.188964860000056,0.5257044434547424,-0.0785861685872078,30.701960784313723
UC_17120_2524,11.265685177287358,76.8980341087846,40.509695480000005,43.85935508,0.5959275960922241,-0.1276592761278152,30.701960784313723
UC_17121_2524,11.26568517728615,76.90252568533592,41.473577120000016,46.07765006,0.517230749130249,-0.0369847603142261,31.01176470588235
UC_17122_2524,11.265685177266093,76.90701726162956,43.40134040000001,47.62601312000004,0.430281400680542,0.034544289112091,31.682352941176468
UC_17123_2524,11.265685177269011,76.91150883813667,41.55902762000005,46.90139288,0.5187753438949585,-0.0531319975852966,32.35294117647059
UC_17124_2524,11.265685177294898,76.91600041446229,42.044386460000055,46.31349344,0.50564044713974,-0.0572233498096466,32.043137254901964
UC_17125_2524,11.26568517730194,76.92049199099431,40.97283719000001,45.97510946,0.5290426015853882,-0.0791058763861656,31.37254901960784
UC_17126_2524,11.265685177294731,76.92498356736208,43.555151300000034,48.56596862000004,0.4215726852416992,0.013452268205583,32.71372549019608
